Brand,Model,Body,Mileage,EngineV,Engine Type,Registration,Year,Price
Mitsubishi,Lancer,sedan,152,1.6,Petrol,yes,2007,6500
Audi,A6,sedan,267,1.9,Diesel,no,2003,4300
Audi,A6,sedan,267,2.5,Diesel,no,1999,3000
Mercedes-Benz,E-Class,sedan,240,2.2,Diesel,yes,2000,8700
Renault,Scenic,vagon,178,2,Petrol,yes,2008,9000
Mercedes-Benz,E-Class,sedan,190,1.8,Gas,yes,2011,20400
BMW,330,sedan,175,3,Petrol,no,2006,9000
Mercedes-Benz,E-Class,sedan,105,1.8,Petrol,yes,2006,13400
Volkswagen,Passat B5,sedan,195,1.9,Diesel,no,2001,3700
Volkswagen,Caddy,van,126,2,Diesel,yes,2012,9850
Audi,A3,hatch,420,2,Diesel,no,2004,3700
Toyota,Land Cruiser Prado,crossover,195,4,Gas,yes,2003,15700
Mercedes-Benz,E-Class,sedan,180,2.2,Diesel,yes,2012,24500
Mitsubishi,Lancer,sedan,195,1.6,Gas,yes,2007,7500
Volkswagen,Caravelle,van,231,2.5,Diesel,yes,2002,11990
Volkswagen,Polo,hatch,51,1.4,Petrol,yes,2014,13708.5
BMW,525,sedan,287,2.5,Gas,yes,1999,8200
Renault,Kangoo,van,222,1.5,Diesel,yes,2009,6999
Renault,Megane,vagon,214,1.5,Diesel,yes,2004,6750
Audi,A8,sedan,245,3,Diesel,yes,2006,18500
Toyota,Avensis,sedan,83,2,Petrol,yes,2009,14299
Mercedes-Benz,GL 320,crossover,210,3.2,Diesel,yes,2007,28500
Mitsubishi,Pajero Wagon,crossover,89,3.8,Petrol,yes,2008,17000
Mercedes-Benz,GL 350,crossover,0,3,Diesel,yes,2016,NA
Mercedes-Benz,GL 450,crossover,130,4.7,Gas,yes,2008,25700
Audi,A6,vagon,333,2.5,Diesel,no,2000,2650
Mitsubishi,Lancer X,sedan,116,1.5,Petrol,yes,2008,8500
Mercedes-Benz,200,sedan,405,2,Diesel,yes,1992,4000
Renault,Kangoo,other,131,1.5,Diesel,yes,2011,11000
Mercedes-Benz,E-Class,sedan,138,2,Petrol,yes,2007,14500
BMW,520,sedan,50,2.5,Petrol,yes,1988,4099
Volkswagen,Tiguan,crossover,1,2,Petrol,yes,2014,31500
Renault,Kangoo,van,207,1.5,Diesel,yes,2003,4500
Volkswagen,Caddy,other,207,1.9,Diesel,yes,2004,6700
Renault,Kangoo,van,85,1.5,Diesel,yes,2012,NA
Mitsubishi,Outlander XL,crossover,31,2.4,Petrol,yes,2011,20800
Mercedes-Benz,GLS 350,crossover,0,2.98,Diesel,yes,2016,107999
BMW,320,sedan,334,2,Diesel,no,1999,3500
Audi,A5,sedan,18,1.8,Other,yes,2015,39000
Toyota,Land Cruiser 100,crossover,150,4.7,Gas,yes,2002,13500
Mitsubishi,Lancer,sedan,175,1.6,Petrol,yes,2007,6150
BMW,X6 M,crossover,76,4.4,Petrol,yes,2010,45500
BMW,520,sedan,295,2,Petrol,yes,1994,4900
BMW,Z4,other,5,2,Petrol,yes,2014,47000
Toyota,Land Cruiser Prado,crossover,190,2.7,Gas,yes,2005,19200
Renault,Megane,vagon,180,1.5,Diesel,yes,2011,NA
Mitsubishi,Outlander,crossover,119,2.4,Gas,yes,2008,11100
Mitsubishi,Lancer X,sedan,139,1.5,Other,yes,2012,8200
Volkswagen,Passat B6,sedan,235,2,Petrol,yes,2007,10300
Renault,Scenic,van,210,1.1,Diesel,yes,2010,11990
Mitsubishi,Galant,sedan,340,NA,Other,yes,1986,800
BMW,520,sedan,33,2,Diesel,yes,2014,46800
Volkswagen,Golf III,other,260,1.8,Gas,no,1994,1500
BMW,X5,crossover,156,4.4,Gas,no,2002,6350
Mercedes-Benz,S 350,sedan,16,3,Diesel,yes,2014,NA
Mercedes-Benz,A 150,hatch,155,1.5,Petrol,yes,2005,8900
Mercedes-Benz,Vito,van,160,3,Diesel,yes,2007,12700
Mitsubishi,Lancer,sedan,207,1.6,Gas,yes,2007,8000
Toyota,FJ Cruiser,crossover,63,4,Petrol,yes,2008,29500
Volkswagen,Golf GTI,hatch,100,2,Petrol,yes,2013,NA
Renault,Kangoo,van,208,1.5,Diesel,yes,2008,7100
Renault,Koleos,crossover,103,2.5,Gas,yes,2010,10850
Volkswagen,T4 (Transporter),van,277,2.5,Diesel,yes,2001,NA
Toyota,Land Cruiser 200,crossover,0,4.5,Diesel,yes,2016,195000
Volkswagen,Passat B7,sedan,57,2,Diesel,yes,2013,27000
Volkswagen,Scirocco,other,64,2,Petrol,yes,2011,18100
BMW,M5,sedan,137,5,Other,yes,2005,27000
BMW,320,other,300,2.2,Petrol,yes,2002,8990
Toyota,Venza,crossover,82,2.7,Petrol,yes,2013,32900
BMW,X5,other,163,4.8,Petrol,yes,2008,25500
Toyota,Rav 4,crossover,153,2,Petrol,yes,2003,8900
Audi,A6,sedan,190,3,Petrol,yes,2006,11950
Mercedes-Benz,E-Class,sedan,125,2.2,Diesel,yes,2010,22700
Audi,80,sedan,112,1.6,Petrol,yes,1980,600
BMW,520,sedan,165,2.2,Gas,yes,2003,13000
Audi,A5,other,60,2,Petrol,yes,2011,25000
Toyota,Land Cruiser Prado,crossover,119,4,Gas,yes,2008,26900
Mercedes-Benz,V 250,van,0,2.2,Diesel,yes,2016,87777
Volkswagen,Caddy,van,200,2,Diesel,yes,2008,6000
Audi,A6,vagon,257,2.5,Diesel,yes,2003,9800
Audi,A6,other,197,2,Diesel,yes,2006,13900
Renault,Trafic,van,164,2.5,Diesel,yes,2009,12200
Mercedes-Benz,ML 270,crossover,205,2.7,Diesel,yes,2005,13500
BMW,X5,crossover,200,4.8,Petrol,yes,2005,18100
BMW,X5,crossover,200,3,Diesel,yes,2010,33000
Volkswagen,Tiguan,crossover,145,1.4,Petrol,yes,2011,16900
Mercedes-Benz,C-Class,sedan,110,1.8,Petrol,yes,2011,22000
Volkswagen,Passat B6,sedan,195,3.2,Petrol,yes,2007,10700
Mercedes-Benz,E-Class,sedan,226,2.2,Diesel,yes,2000,7800
Mercedes-Benz,E-Class,sedan,184,1.8,Gas,yes,2008,17300
BMW,730,sedan,16,3,Diesel,yes,2014,70000
Volkswagen,Lupo,hatch,118,1.4,Petrol,no,2001,2200
BMW,5 Series,sedan,256,2.2,Petrol,yes,2002,8900
Mercedes-Benz,CLA 200,sedan,33,1.6,Petrol,yes,2013,31600
Volkswagen,T5 (Transporter),other,168,1.9,Diesel,yes,2006,7900
Toyota,Highlander,crossover,97,3.5,Petrol,yes,2012,28500
Renault,Kangoo,van,140,1.5,Diesel,yes,2012,6900
BMW,525,vagon,280,2.5,Diesel,yes,2000,8850
Renault,Kangoo,van,164,1.4,Petrol,yes,1999,3100
BMW,525,sedan,250,2.5,Petrol,yes,2000,8900
Renault,Megane,sedan,130,1.4,Petrol,yes,2005,6100
BMW,318,sedan,260,1.8,Petrol,no,1996,1400
Volkswagen,Caddy,van,93,1.6,Diesel,yes,2012,8800
Renault,Trafic,other,176,2,Diesel,yes,2013,10299
Renault,Megane,sedan,170,1.6,Petrol,yes,2004,6500
Mercedes-Benz,S 500,other,1,4.7,Petrol,yes,2015,169000
Toyota,Corolla,sedan,151,1.6,Gas,yes,2007,9100
Volkswagen,Polo,hatch,95,1.4,Petrol,yes,2010,9950
Toyota,Land Cruiser 100,crossover,260,4.7,Gas,yes,2003,24500
Audi,Q7,crossover,27,3,Diesel,yes,2013,51500
Volkswagen,T5 (Transporter),van,290,1.9,Diesel,yes,2008,12900
Mercedes-Benz,Vito,van,250,2.2,Diesel,yes,2006,8000
Mitsubishi,Galant,sedan,112,2.4,Petrol,yes,2007,8100
Renault,Trafic,van,164,2,Diesel,yes,2012,10100
BMW,5 Series,sedan,300,2.5,Diesel,no,1997,1900
Renault,Trafic,van,187,2,Diesel,yes,2012,10800
Audi,A8,sedan,234,4.2,Gas,no,2004,8000
Mercedes-Benz,CLK 240,other,120,2.6,Petrol,yes,2004,15300
Volkswagen,Golf IV,hatch,182,1.9,Diesel,no,1998,2350
Volkswagen,Passat CC,sedan,88,NA,Other,yes,2012,23999
BMW,I3,vagon,5,0.65,Other,yes,2015,38888
Mitsubishi,Colt,hatch,126,NA,Other,yes,2004,7300
Toyota,Land Cruiser 200,crossover,0,4.5,Diesel,yes,2016,99999
Volkswagen,Passat B7,sedan,110,1.8,Petrol,yes,2012,17650
Volkswagen,Multivan,van,237,2.5,Diesel,yes,2005,12999
Mercedes-Benz,C-Class,other,90,1.8,Petrol,yes,2008,18500
Volkswagen,Passat B6,sedan,195,2,Petrol,yes,2006,9200
Volkswagen,Polo,sedan,1,1.6,Other,yes,2016,14500
Volkswagen,Passat B7,vagon,18,1.6,Diesel,yes,2011,18000
Mercedes-Benz,Vaneo,van,250,1.7,Diesel,yes,2003,6800
BMW,X1,crossover,73,2,Petrol,yes,2011,20500
BMW,M5,other,100,5,Petrol,yes,2005,28000
Volkswagen,T5 (Transporter) ,van,130,2,Diesel,yes,2011,10650
Volkswagen,Scirocco,other,30,1.4,Petrol,yes,2013,20300
Volkswagen,Passat B5,vagon,267,1.9,Diesel,no,1999,3000
Toyota,Land Cruiser 100,crossover,112,4.5,Gas,yes,2007,25250
Mitsubishi,Colt,hatch,245,1.3,Petrol,no,1996,1389
Mercedes-Benz,S 400,sedan,174,4,Diesel,yes,2005,17600
Mercedes-Benz,Vito,van,180,2.2,Diesel,yes,2007,14200
BMW,X5,crossover,270,4.6,Gas,yes,2004,13700
Mercedes-Benz,S 550,sedan,187,5.5,Petrol,yes,2007,23900
Volkswagen,Golf IV,crossover,267,NA,Diesel,no,2000,3700
Volkswagen,Passat CC,sedan,144,3.6,Petrol,yes,2013,32000
BMW,520,sedan,267,2,Gas,yes,1991,4599
Volkswagen,Passat B5,sedan,300,1.9,Diesel,no,1998,2350
Audi,A4 Allroad,vagon,160,2,Petrol,yes,2010,19999
BMW,528,sedan,78,2,Petrol,yes,2012,28900
Volkswagen,Passat B4,sedan,300,2.8,Gas,yes,1996,3800
Audi,A6,vagon,350,NA,Diesel,yes,2000,4649
Volkswagen,Golf II,other,300,1.3,Petrol,yes,1989,1800
Toyota,Land Cruiser 200,crossover,1,4.5,Diesel,yes,2011,135000
Volkswagen,Passat B6,sedan,201,2,Petrol,yes,2007,9700
Mitsubishi,L 200,other,1,2.5,Diesel,yes,2016,25342.2
Volkswagen,Jetta,sedan,1,1.6,Diesel,yes,2016,24900
Renault,Logan,sedan,140,1.4,Petrol,yes,2011,4999
Volkswagen,Multivan,other,142,2.5,Diesel,yes,2007,NA
BMW,525,sedan,390,2.5,Petrol,yes,1991,4700
Mercedes-Benz,E-Class,sedan,1,2.8,Petrol,yes,1997,4999
Mercedes-Benz,E-Class,sedan,350,2.7,Diesel,yes,2000,9299
Mercedes-Benz,S 550,sedan,130,5.5,Petrol,yes,2007,25000
Mitsubishi,Pajero Sport,crossover,148,3,Gas,yes,2008,12900
Audi,A6,vagon,189,2.5,Diesel,yes,2003,9700
Renault,Trafic,van,64,2,Diesel,yes,2014,10100
BMW,730,sedan,296,3,Diesel,no,2001,2800
Mercedes-Benz,Sprinter 312,van,350,2.9,Diesel,yes,2000,13500
Mitsubishi,Lancer X Sportback,hatch,125,1.8,Petrol,yes,2009,8900
Mercedes-Benz,GLS 350,crossover,0,3,Diesel,yes,2016,109999
Mercedes-Benz,E-Class,sedan,180,3.2,Gas,yes,2004,11500
BMW,X6,crossover,82,3,Petrol,yes,2010,36900
Toyota,Land Cruiser Prado,crossover,150,4,Gas,yes,2010,33200
Volkswagen,T5 (Transporter),van,253,2.5,Diesel,yes,2008,10200
Volkswagen,Jetta,sedan,0,1.6,Petrol,yes,2016,16999
Toyota,Camry,sedan,179,3,Gas,yes,2005,10800
Mercedes-Benz,E-Class,other,99,2.99,Diesel,yes,2011,35500
Volkswagen,Golf Plus,hatch,156,1.6,Petrol,yes,2007,9900
Renault,Scenic,vagon,91,1.5,Diesel,yes,2008,7900
Mercedes-Benz,E-Class,sedan,216,2.2,Diesel,yes,2007,13900
Volkswagen,Passat CC,sedan,102,1.8,Petrol,yes,2011,20000
Toyota,Rav 4,crossover,38,2.2,Diesel,yes,2015,28500
Mitsubishi,Lancer,sedan,178,1.6,Petrol,yes,2007,7200
Mitsubishi,Outlander,crossover,200,2,Gas,yes,2006,9000
Audi,Q7,crossover,115,3,Diesel,yes,2010,36500
Volkswagen,Up,hatch,41,1,Petrol,yes,2012,8000
Audi,A6,other,11,1.8,Petrol,yes,2015,43000
Toyota,Corolla,sedan,48,1.4,Diesel,yes,2013,13700
Toyota,Avensis,sedan,165,1.8,Gas,yes,2006,7899
Renault,Trafic,van,180,2,Diesel,yes,2012,13999
Volkswagen,Caddy,van,176,1.6,Diesel,yes,2012,10500
Mercedes-Benz,S 550,sedan,100,99.99,Petrol,yes,2007,5500
Volkswagen,Amarok,other,160,2,Diesel,yes,2012,20800
Volkswagen,Passat B3,sedan,488,2,Petrol,yes,1991,2500
Mercedes-Benz,G 320,crossover,176,3.2,Gas,yes,2003,32000
Mercedes-Benz,S 500,sedan,220,5,Petrol,yes,2004,14500
Toyota,Auris,hatch,20,1.6,Petrol,yes,2014,16900
Mercedes-Benz,Vito,van,172,2.2,Diesel,yes,2013,13600
Audi,A6,vagon,273,2.5,Diesel,no,1999,2600
Mercedes-Benz,V 250,van,0,2.2,Diesel,yes,2016,NA
BMW,530,sedan,237,3,Diesel,yes,2003,12000
Volkswagen,Jetta,sedan,118,1.6,Gas,yes,2008,NA
Volkswagen,Passat B7,vagon,106,1.6,Diesel,yes,2013,18800
Toyota,Land Cruiser Prado,crossover,85,3,Diesel,yes,2012,35500
Mercedes-Benz,CL 500,other,71,5.5,Petrol,yes,2007,29900
Renault,Kangoo,other,110,1.5,Diesel,yes,2012,6750
Toyota,Land Cruiser 200,crossover,0,4.5,Diesel,yes,2016,NA
BMW,X5,crossover,117,3,Petrol,yes,2011,34900
Volkswagen,T5 (Transporter) ,van,177,1.9,Diesel,yes,2008,7700
Renault,Megane,vagon,220,1.5,Diesel,yes,2010,9250
Renault,Kangoo,hatch,84,1.5,Diesel,yes,2011,8400
Toyota,Corolla,sedan,93,1.6,Petrol,yes,2013,11750
Mercedes-Benz,Vito,van,368,2.2,Diesel,yes,2000,5800
Toyota,Land Cruiser Prado,crossover,180,3,Diesel,no,2003,5900
BMW,X6,crossover,87,3,Diesel,yes,2011,44999
Volkswagen,Caddy,van,170,1.6,Diesel,yes,2013,10500
Mercedes-Benz,E-Class,sedan,190,3,Diesel,yes,2007,17900
Audi,A6,sedan,190,3,Petrol,yes,2007,9999
Audi,A6,sedan,190,2.5,Diesel,yes,2003,9999
Renault,Master,van,472,2.5,Diesel,yes,2000,4900
Volkswagen,Touareg,crossover,2,3,Diesel,yes,2016,61000
Toyota,Land Cruiser 200,crossover,130,5.7,Gas,yes,2009,38300
Toyota,Corolla,sedan,30,1.6,Petrol,yes,2014,17700
Toyota,Corolla,sedan,10,1.5,Petrol,yes,1979,600
Volkswagen,Multivan,van,50,2,Diesel,yes,2013,55555
BMW,X5,crossover,280,3,Diesel,yes,2005,18000
Renault,Kangoo,other,125,1.5,Diesel,yes,2013,7600
Renault,Logan,sedan,68,1.5,Diesel,yes,2013,6900
Renault,Dokker,vagon,0,1.5,Diesel,yes,2016,15635.1
Renault,Trafic,van,195,2,Diesel,yes,2011,10550
Volkswagen,T5 (Transporter),van,190,1.9,Diesel,yes,2008,12500
Audi,A6,sedan,157,3,Petrol,yes,2006,13000
BMW,540,sedan,285,4.4,Gas,yes,1997,7400
Audi,A8,other,41,NA,Other,yes,2014,64400
Renault,Megane,hatch,100,1.5,Diesel,yes,2009,9500
Audi,Q7,crossover,197,4.2,Petrol,yes,2007,18800
Toyota,Camry,sedan,176,3,Petrol,yes,2002,8000
Volkswagen,Passat B5,vagon,250,1.9,Diesel,yes,2002,8700
Mercedes-Benz,ML 320,crossover,300,3.2,Petrol,yes,1998,9999
Volkswagen,Passat CC,sedan,175,2,Petrol,yes,2011,16700
Toyota,Auris,hatch,90,1.6,Petrol,yes,2012,13900
Volkswagen,T5 (Transporter) ,other,145,2,Diesel,yes,2011,18700
Mitsubishi,Lancer,sedan,152,1.6,Petrol,yes,2006,6200
Mercedes-Benz,Vito,van,450,2.2,Diesel,yes,2000,NA
Renault,Kangoo,van,22,1.9,Diesel,yes,2001,3600
Renault,Kangoo,vagon,98,1.4,Petrol,yes,2007,7500
Renault,Kangoo,van,200,1.9,Diesel,yes,2002,2300
Volkswagen,Touareg,crossover,133,2.5,Diesel,yes,2007,16900
Mitsubishi,Outlander XL,crossover,116,2.4,Petrol,yes,2008,13499
Renault,Kangoo,van,180,1.5,Diesel,yes,2007,5700
Renault,Kangoo,van,83,NA,Other,yes,2013,7250
Mitsubishi,Pajero Wagon,crossover,140,3.8,Gas,yes,2007,17900
Volkswagen,Passat B5,vagon,289,NA,Diesel,yes,2003,7800
Volkswagen,Multivan,other,170,1.9,Diesel,yes,2006,13900
Audi,A6,vagon,167,2.5,Diesel,yes,2000,7950
BMW,318,sedan,250,2,Petrol,yes,2003,9700
Volkswagen,Passat B5,sedan,240,1.8,Petrol,yes,2002,7500
Audi,Q7,crossover,117,4.2,Petrol,yes,2007,19999
BMW,318,sedan,230,2,Gas,yes,2004,9100
Renault,Kangoo,van,135,NA,Diesel,yes,2008,8100
Volkswagen,Golf VI,hatch,73,1.4,Petrol,yes,2011,13300
Volkswagen,Golf VII,hatch,22,1.2,Other,yes,2014,21000
Audi,A6,sedan,360,1.8,Petrol,yes,1998,6600
Audi,A6,vagon,226,3,Diesel,no,2006,7600
Mercedes-Benz,A 170,hatch,258,1.7,Diesel,no,2002,3500
Volkswagen,Passat B3,sedan,3,1.8,Petrol,yes,1991,3500
Mercedes-Benz,Vito,van,167,2.2,Diesel,yes,2012,17900
Renault,Laguna,vagon,286,1.9,Diesel,no,2001,1950
Volkswagen,New Beetle,sedan,90,1.4,Petrol,yes,2003,7990
Volkswagen,Touareg,crossover,24,NA,Other,yes,2015,65000
Volkswagen,Passat B5,sedan,320,1.9,Diesel,yes,2001,6500
Mitsubishi,Galant,sedan,300,2,Diesel,yes,1996,3500
Toyota,Camry,sedan,113,2.4,Gas,yes,2009,14100
Toyota,Corolla,other,300,1.6,Petrol,yes,1991,2999
BMW,X5,crossover,70,3,Diesel,yes,2014,66900
Toyota,Camry,sedan,200,3.5,Gas,yes,2006,13100
Volkswagen,Passat B5,sedan,300,1.8,Petrol,yes,1998,6900
Volkswagen,Passat B7,sedan,80,2,Diesel,yes,2014,23999
Mitsubishi,Pajero,crossover,225,2.5,Petrol,yes,1997,6990
Toyota,Camry,sedan,198,2.4,Gas,yes,2009,13999
Renault,Kangoo,van,108,1,Diesel,yes,2013,7600
Renault,Megane,vagon,180,1.5,Diesel,yes,2012,11100
Mercedes-Benz,Sprinter 319,other,260,2.2,Diesel,yes,2011,16500
Mercedes-Benz,GLS 63,crossover,0,5.5,Petrol,yes,2016,199999
Mercedes-Benz,S 500,other,82,5.5,Petrol,yes,2010,44000
Audi,A5,other,12,1.8,Petrol,yes,2014,39900
Mercedes-Benz,E-Class,sedan,173,1.8,Gas,yes,2011,20500
BMW,X5,crossover,214,4.4,Petrol,no,2000,8000
BMW,320,sedan,142,2,Petrol,yes,2005,11600
Audi,100,sedan,265,2,Diesel,yes,1986,3500
Renault,Megane,vagon,170,1.5,Diesel,yes,2012,11500
Volkswagen,Passat B6,other,103,2,Diesel,yes,2011,13700
Mercedes-Benz,Viano,van,198,3.2,Gas,yes,2006,13700
Renault,Megane,vagon,200,1.5,Diesel,yes,2007,7700
Mercedes-Benz,E-Class,sedan,231,2.2,Petrol,yes,1994,5800
Volkswagen,Passat B6,sedan,95,2,Petrol,yes,2007,9500
Mercedes-Benz,S 550,sedan,140,5.5,Petrol,yes,2009,24900
Volkswagen,Touareg,crossover,47,3,Diesel,yes,2016,55500
Volkswagen,Sharan,van,186,2.8,Petrol,yes,2000,6500
Mercedes-Benz,E-Class,sedan,175,3.2,Diesel,no,2006,8300
Mitsubishi,Pajero Sport,crossover,130,3,Gas,yes,2007,12000
Mercedes-Benz,ML 350,crossover,185,3.7,Gas,yes,2005,15000
BMW,530,sedan,246,3,Diesel,yes,2000,8100
Volkswagen,T5 (Transporter),van,178,NA,Diesel,yes,2008,11200
Renault,Megane,sedan,175,2,Gas,yes,2005,8000
Mercedes-Benz,Vito,van,285,2.3,Diesel,yes,1999,5500
Mercedes-Benz,V 250,van,0,2.2,Diesel,yes,2016,NA
Renault,Megane,vagon,184,1.5,Diesel,yes,2011,9600
Volkswagen,Golf VI,vagon,96,NA,Petrol,yes,2010,12500
BMW,318,sedan,180,2,Petrol,yes,2002,10800
Mercedes-Benz,Vito,van,263,2.2,Diesel,yes,2005,10999
BMW,X5,crossover,80,3,Diesel,yes,2012,44000
Toyota,Camry,sedan,108,NA,Petrol,yes,2008,15700
Toyota,Prius,hatch,54,1.4,Other,yes,2012,19200
Mercedes-Benz,B 180,van,127,1.8,Diesel,yes,2013,19600
Volkswagen,Polo,sedan,135,1.6,Gas,yes,2011,9000
BMW,530,sedan,245,3,Diesel,yes,2003,10900
Volkswagen,T5 (Transporter) ,van,180,2,Diesel,yes,2012,12900
BMW,525,sedan,285,2.5,Petrol,yes,1999,6600
Renault,Fluence,sedan,0,1.5,Diesel,yes,2016,15820.35
Toyota,Camry,sedan,180,2.4,Petrol,yes,2003,10200
Mercedes-Benz,E-Class,sedan,366,3.2,Gas,yes,1994,6000
Audi,90,sedan,1,2,Other,yes,1988,3500
Volkswagen,T4 (Transporter),van,380,2.5,Diesel,yes,1999,7800
Toyota,Land Cruiser Prado,crossover,84,3,Diesel,yes,2013,35900
Mercedes-Benz,GLS 500,crossover,0,4.6,Petrol,yes,2016,NA
Renault,Duster,crossover,90,1.5,Diesel,yes,2011,11700
Volkswagen,Tiguan,crossover,58,2,Petrol,yes,2008,15200
Mercedes-Benz,E-Class,sedan,111,2.3,Gas,yes,1992,2500
Volkswagen,T5 (Transporter),other,164,2,Diesel,yes,2010,16800
BMW,730,sedan,128,3,Diesel,yes,2013,50499
Mercedes-Benz,190,sedan,470,2,Gas,yes,1985,2650
BMW,523,sedan,300,2.5,Petrol,no,1997,2250
Mercedes-Benz,E-Class,sedan,270,2.7,Diesel,yes,2001,9300
Toyota,Hiace,van,161,2.5,Diesel,yes,2002,11500
BMW,745,sedan,304,4.4,Other,yes,2002,13000
Mercedes-Benz,S 320,sedan,319,3.2,Gas,yes,1997,7500
Mercedes-Benz,CLC 200,other,38,2,Petrol,yes,2009,17999
Renault,Megane,vagon,162,1.5,Diesel,yes,2006,7300
Toyota,Land Cruiser Prado,crossover,117,3,Diesel,yes,2008,29900
Renault,Kangoo,vagon,170,1.5,Diesel,yes,2004,4950
Audi,Q7,vagon,40,3,Diesel,yes,2010,36000
Audi,A4,sedan,177,1.6,Petrol,no,1996,1700
Audi,A4,vagon,1,2,Diesel,yes,2008,12450
Volkswagen,Polo,sedan,0,1.6,Petrol,yes,2016,13893.75
Volkswagen,Touareg,crossover,60,3,Diesel,yes,2013,44600
Toyota,Rav 4,crossover,0,2,Petrol,yes,2016,35138.29
BMW,325,sedan,313,2.5,Diesel,yes,1994,3500
